ID,Word,Definition,Part of Speech,Example Sentence,Synonym 1,Synonym 2,CEFR Level,Difficulty Score,Category,Frequency Level,Word Family,Usage Note,Related Words
7685,Religiously,By religion.,Adverb,Religiously inspired art.,sacredly,,B1,21,General,Common,,,religious;spiritual;inspirational
7686,Relinquished,Part with a possession or right.,Verb,I am relinquishing my bedroom to the long-term house guest.,release,relinquish,B1,21,Business,Common,,,sacrifice;entrust;deliver
7687,Relishing,Taking a small amount into the mouth to test its quality.,Noun,Cooking was fine but it was the savoring that he enjoyed most.,tasting,savoring,B2,43,General,Less Common,,,lunching;savouring;degustation
7688,Reliving,A recurrence of a prior experience.,Noun,The reliving of a strong emotion can be therapeutic.,re-experiencing,,B1,32,Academic,Common,,,experience;reality;reminder
7689,Relocation,The act of changing your residence or place of business.,Noun,They say that three moves equal one fire.,move,,B2,43,General,Less Common,,,transportation;transport;transfer
7690,Reluctant,Unwillingness to do something contrary to your custom.,Adjective,A reluctant smile.,loath,loth,A2,8,General,Very Common,,,reluctance;unwilling;disinclined
7691,Remaking,Creation that is created again or anew.,Noun,It is a remake of an old film.,remake,,B2,43,Science & Technology,Less Common,,,creation;representation;classic
7692,Remedial,Tending to cure or restore to health.,Adjective,Curative powers of herbal remedies.,curative,healing,B2,44,General,Less Common,,,bettering;remedy;healthful
7693,Remediate,Set straight or right.,Verb,Remedy these deficiencies.,rectify,remedy,C2,84,General,Rare,,,correct;remediation;right
7694,Remilitarise,Militarize anew.,Verb,Should Japan be remilitarized?,remilitarize,,C2,84,Business,Rare,,,militarize;mobilize;mobilise
7695,Remindful,Serving to bring to mind.,Adjective,Cannot forbear to close on this redolent literary note.,evocative,redolent,C2,84,General,Rare,,,mindful;aware
7696,Reminiscent,Serving to bring to mind.,Adjective,Cannot forbear to close on this redolent literary note.,evocative,redolent,B1,21,General,Common,,,mindful;reminiscence;reminisce
7697,Remission,An abatement in intensity or degree (as in the manifestations of a disease).,Noun,His cancer is in remission.,remittal,subsidence,C2,84,General,Rare,,,suspension;respite;payment
7698,Remodel,"Do over, as of (part of) a house.",Verb,We are remodeling these rooms.,reconstruct,redo,C2,84,General,Rare,,,refashion;change;alter
7699,Remorsefully,In a rueful manner.,Adverb,"`I made a big mistake,' he said ruefully.",ruefully,contritely,C2,84,General,Rare,,,remorseful;penitent;repentant
7700,Remorselessly,Without pity; in a merciless manner.,Adverb,He was mercilessly trounced by his opponent in the House.,mercilessly,pitilessly,C2,84,General,Rare,,,pitiless;ruthless;unpitying
7701,Remould,Cast again.,Verb,The bell cracked and had to be recast.,recast,remold,C2,84,Arts & Creativity,Rare,,,renovate;restore;reconstruct
7702,Remunerate,Make payment to; compensate.,Verb,My efforts were not remunerated.,compensate,recompense,C2,84,Business,Rare,,,remuneration;remunerative;remunerator
7703,Remuneration,Something that remunerates.,Noun,Wages were paid by check.,wage,pay,B1,32,Business,Common,,,remunerate;payroll;paysheet
7704,Renascent,Rising again as to new life and vigor.,Adjective,Resurgent nationalism.,resurgent,,C2,84,General,Rare,,,revived;renascence
7705,Rending,Tear or be torn violently.,Verb,The curtain ripped from top to bottom.,rend,rip,C2,84,General,Rare,,,rupture;tear;snap
7706,Renegade,Having deserted a cause or principle.,Adjective,Some provinces had proved recreant.,recreant,,C2,84,General,Rare,,,disloyal
7707,Renegociate,Negociate anew.,Verb,The two warring parties will have to renegociate.,renegotiate,,C2,84,Communication,Rare,,,negociate;negotiate;bargain
7708,Renewed,"Reestablish on a new, usually improved, basis or make new or like new.",Verb,We renewed our friendship after a hiatus of twenty years.,regenerate,renew,A2,7,Arts & Creativity,Very Common,,,renovate;restore;remould
7709,Renormalise,Make normal or cause to conform to a norm or standard.,Verb,Normalize relations with China.,normalize,normalise,C2,84,General,Rare,,,change;alter;modify
7710,Renounce,"Give up, such as power, as of monarchs and emperors, or duties and obligations.",Verb,The King abdicated when he married a divorcee.,abdicate,,C2,84,Society & Culture,Rare,,,renunciation;renouncement;vacate
7711,Renovate,Restore to a previous or better condition.,Verb,They renovated the ceiling of the Sistine Chapel.,restitute,,C2,84,General,Rare,,,restore;remould;reconstruct
7712,Renowned,Widely known and esteemed.,Adjective,A famous actor.,celebrated,famed,B1,32,General,Common,,,known
7713,Renunciation,Rejecting or disowning or disclaiming as invalid.,Noun,Congressional repudiation of the treaty that the President had negotiated.,repudiation,,B2,44,Communication,Less Common,,,renounce;disowning;repulse
7714,Reorganisation,The imposition of a new organization; organizing differently (often involving extensive and drastic changes).,Noun,A committee was appointed to oversee the reorganization of the curriculum.,reorganization,shake-up,C2,84,General,Rare,,,organization;organisation;nonprofit
7715,Reorganised,Organize anew.,Verb,We must reorganize the company if we don't want to go under.,reorganize,reorganise,C2,84,Society & Culture,Rare,,,rationalize;rationalise;territorialise
7716,Reorganization,The imposition of a new organization; organizing differently (often involving extensive and drastic changes).,Noun,A committee was appointed to oversee the reorganization of the curriculum.,reorganisation,shake-up,A2,6,General,Very Common,,,organization;organisation;revision
7717,Reorganized,Organize anew.,Verb,We must reorganize the company if we don't want to go under.,reorganize,reorganise,B1,21,Society & Culture,Common,,,rationalize;rationalise;territorialise
7718,Reparation,Something done or paid in expiation of a wrong.,Noun,How can I make amends.,amends,,B2,44,General,Less Common,,,restitution;redress;counterbalance
7719,Repeating,"To say, state, or perform again.",Verb,She kept reiterating her request.,repeat,reiterate,A2,11,Communication,Very Common,,,translate;summarise;reproduce
7720,Repellant,The power to repel.,Noun,She knew many repellents to his advances.,repellent,,C2,84,General,Rare,,,compound;repel
7721,Repellently,In a repellent manner.,Adverb,Repellently fat.,repellingly,,C2,84,General,Rare,,,offensive;repellent
7722,Repellingly,In a repellent manner.,Adverb,Repellently fat.,repellently,,C2,84,General,Rare,,,offensive;repelling
7723,Repertoire,The entire range of skills or aptitudes or devices used in a particular field or occupation.,Noun,The repertory of the supposed feats of mesmerism.,repertory,,B1,32,Society & Culture,Common,,,collection;assemblage;aggregation
7724,Repetition,An event that repeats.,Noun,The events today were a repeat of yesterday's.,repeat,,A2,9,General,Very Common,,,repetitious;sequence;recurrence
7725,Repetitious,Characterized by repetition.,Adjective,Repetitive movement.,repetitive,,B1,32,General,Common,,,repetition;repetitiousness;iterative
7726,Replenish,Fill something that had previously been emptied.,Verb,"Refill my glass, please.",refill,fill again,B1,21,General,Common,,,replenishment;fill
7727,Replicate,Reproduce or make an exact copy of.,Verb,Replicate the cell.,copy,,C2,84,Arts & Creativity,Rare,,,duplicate;reduplicate;recapitulate
7728,Repoint,Repair the joints of bricks.,Verb,Point a chimney.,point,,C2,84,General,Rare,,,restore;troubleshoot;repair
7729,Reposeful,Affording physical or mental rest.,Adjective,She spent a restful night at home.,restful,relaxing,C2,84,General,Rare,,,slumberous;slumbrous
7730,Repositing,Depositing in a warehouse.,Noun,They decided to reposition their furniture in a recommended repository in Brooklyn.,reposition,storage,C2,84,General,Rare,,,deposit;reposit;deposition
7731,Repositioning,Change place or direction.,Verb,Shift one's position.,shift,dislodge,C2,84,General,Rare,,,position;move;displace
7732,Reprehension,An act or expression of criticism and censure.,Noun,He had to take the rebuke with a smile on his face.,rebuke,reproof,C2,84,Communication,Rare,,,criticism;monition;chastening
7733,Represented,Take the place of or be parallel or equivalent to.,Verb,"Because of the sound changes in the course of history, an 'h' in Greek stands for an 's' in Latin.",represent,stand for,A2,5,General,Very Common,,,epitomise;personify;translate
7734,Repress,Put down by force or intimidation.,Verb,The government quashes any attempt of an uprising.,quash,keep down,B2,44,Society & Culture,Less Common,,,oppress;suppress;inhibit
7735,Repressing,Put down by force or intimidation.,Verb,The government quashes any attempt of an uprising.,repress,quash,C2,84,Society & Culture,Rare,,,oppress;suppress;inhibit
7736,Reprimand,An act or expression of criticism and censure.,Noun,He had to take the rebuke with a smile on his face.,rebuke,reproof,C2,84,Communication,Rare,,,criticism;monition;chastening
7737,Reprinting,Print anew.,Verb,They never reprinted the famous treatise.,reprint,reissue,C2,84,Arts & Creativity,Rare,,,reproduce;imitate;simulate
7738,Reproachfully,In a reproving or reproachful manner.,Adverb,She spoke to him reprovingly.,reprovingly,,C2,84,General,Rare,,,reproachful;unfavorable;unfavourable
7739,Reprobate,Express strong disapproval of.,Verb,We condemn the racism in South Africa.,condemn,decry,B2,44,Communication,Less Common,,,sentence;discount;discredit
7740,Reproduce,Have offspring or produce more individuals of a given animal or plant.,Verb,The Bible tells people to procreate.,procreate,multiply,A2,14,Health & Wellness,Very Common,,,reproduction;produce;imitate
7741,Reproduction,The act of making copies.,Noun,Gutenberg's reproduction of holy texts was far more efficient.,replication,,B1,16,General,Common,,,reproduce;recollection;agamogenesis
7742,Reproof,An act or expression of criticism and censure.,Noun,He had to take the rebuke with a smile on his face.,rebuke,reproval,B2,44,Communication,Less Common,,,criticism;monition;chastening
7743,Reproval,An act or expression of criticism and censure.,Noun,He had to take the rebuke with a smile on his face.,rebuke,reproof,C2,84,Communication,Rare,,,criticism;monition;chastening
7744,Reproving,Take to task.,Verb,He admonished the child for his bad behavior.,admonish,reprove,C2,84,Communication,Rare,,,criticise;assault;trounce
7745,Republishing,Publish again.,Verb,The scientist republished his results after he made some corrections.,republish,,C2,84,Arts & Creativity,Rare,,,publish;print;revive
7746,Repudiation,Rejecting or disowning or disclaiming as invalid.,Noun,Congressional repudiation of the treaty that the President had negotiated.,renunciation,,B1,21,Communication,Common,,,disowning;repulse;repudiate
7747,Repulse,Force or drive back.,Verb,Repel the attacker.,repel,fight off,C2,84,Business,Rare,,,nauseate;withstand;repulsion
7748,Repulsive,Offensive to the mind.,Adjective,An abhorrent deed.,abhorrent,detestable,B1,21,General,Common,,,repulsiveness;offensive;repel
7749,Repulsiveness,The quality of being disgusting to the senses or emotions.,Noun,The vileness of his language surprised us.,loathsomeness,sliminess,C2,84,General,Rare,,,repulsive;lousiness;wickedness
7750,Requester,One praying humbly for something.,Noun,A suppliant for her favors.,petitioner,suppliant,C2,84,Society & Culture,Rare,,,canvasser;material;possible
7751,Requisition,An official form on which a request in made.,Noun,First you have to fill out the requisition.,requisition form,,B2,44,Communication,Less Common,,,require;insisting;challenge
7752,Rescindable,Capable of being rescinded or voided.,Adjective,The judgment was rescindable.,voidable,,C2,84,General,Rare,,,revocable;revokable
7753,Rescission,(law) the act of rescinding; the cancellation of a contract and the return of the parties to the positions they would have had if the contract had not been made.,Noun,Recission may be brought about by decree or by mutual consent.,recission,,C2,84,General,Rare,,,rescind;cancellation;abrogation
7754,Rescued,Take forcibly from legal custody.,Verb,Rescue prisoners.,rescue,,B1,16,Business,Common,,,relieve;plunder;pillage
7755,Reservoir,Anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies.,Noun,An infectious agent depends on a reservoir for its survival.,source,,A2,10,General,Very Common,,,supply;lake;water
7756,Reshuffle,Shuffling again.,Noun,The gambler demanded a reshuffle.,reshuffling,,C2,84,General,Rare,,,shuffle;reallotment;reapportionment
7757,Reshuffling,Shuffling again.,Noun,The gambler demanded a reshuffle.,reshuffle,,C2,84,General,Rare,,,shuffle;shuffling;make
7758,Residuary,Relating to or indicating a remainder.,Adjective,Residual quantity.,residual,,C2,84,General,Rare,,,residuum;residue
